IND,YEAR,EMP,WAGE,CAP,INDOUTPT,N,W,K,YS,REC,YEARM1,ID,NL1,NL2,WL1,KL1,KL2,YSL1,YSL2,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984 
8,1978,26.7399998,14.8379002,8.7419996,120.1550980,3.2861605,2.6971848,2.1681390,4.7887836,23,1977,4,3.2642314, ,2.6965375,2.1389127, ,4.7725668, ,0,0,1,0,0,0,0,0,0 
8,1979,27.2800007,14.8755999,9.1869001,118.8319016,3.3061538,2.6997223,2.2177787,4.7777100,24,1978,4,3.2861605,3.2642314,2.6971848,2.1681390,2.1389127,4.7887836,4.7725668,0,0,0,1,0,0,0,0,0 
8,1980,27.8299999,15.2332001,9.4035997,111.9163971,3.3261147,2.7234774,2.2410927,4.7177520,25,1979,4,3.3061538,3.2861605,2.6997223,2.2177787,2.1681390,4.7777100,4.7887836,0,0,0,0,1,0,0,0,0 
8,1981,27.1690006,17.2528992,8.8938999,97.5540009,3.3020766,2.8479803,2.1853657,4.5804062,26,1980,4,3.3261147,3.3061538,2.7234774,2.2410927,2.2177787,4.7177520,4.7777100,0,0,0,0,0,1,0,0,0 
8,1982,24.5039997,19.3141994,8.3905001,92.1981964,3.1988363,2.9608405,2.1271002,4.5239406,27,1981,4,3.3020766,3.3261147,2.8479803,2.1853657,2.2410927,4.5804062,4.7177520,0,0,0,0,0,0,1,0,0 
8,1983,22.5620003,20.0055008,7.4351001,92.4040985,3.1162672,2.9960072,2.0062120,4.5261712,28,1982,4,3.1988363,3.3020766,2.9608405,2.1271002,2.1853657,4.5239406,4.5804062,0,0,0,0,0,0,0,1,0 
7,1976,86.6770020,20.6322994,22.3803997,94.8991013,4.4621887,3.0268579,3.1081855,4.5528140,29,1983,5, , , , , , , ,1,0,0,0,0,0,0,0,0 
7,1977,87.0999985,18.2782001,22.2702999,96.5037994,4.4670568,2.9057090,3.1032538,4.5695825,30,1976,5,4.4621887, ,3.0268579,3.1081855, ,4.5528140, ,0,1,0,0,0,0,0,0,0 
7,1978,87,18.1368999,25.1669998,98.8162994,4.4659081,2.8979485,3.2255337,4.5932627,31,1977,5,4.4670568,4.4621887,2.9057090,3.1032538,3.1081855,4.5695825,4.5528140,0,0,1,0,0,0,0,0,0 
7,1979,90.4000015,18.1896000,25.3514996,100.4834976,4.5042443,2.9008501,3.2328379,4.6099935,32,1978,5,4.4659081,4.4670568,2.8979485,3.2255337,3.1032538,4.5932627,4.5695825,0,0,0,1,0,0,0,0,0 
7,1980,89.1999969,19.2893009,28.2394009,100.1222992,4.4908810,2.9595506,3.3407183,4.6063924,33,1979,5,4.5042443,4.4659081,2.9008501,3.2328379,3.2255337,4.6099935,4.5932627,0,0,0,0,1,0,0,0,0 
7,1981,82.6999969,19.8241997,25.7959003,98.5270004,4.4152198,2.9869034,3.2502155,4.5903306,34,1980,5,4.4908810,4.5042443,2.9595506,3.3407183,3.2328379,4.6063924,4.6099935,0,0,0,0,0,1,0,0,0 
7,1982,73.6999969,19.3873005,20.3680992,99.5083008,4.3000026,2.9646182,3.0139699,4.6002412,35,1981,5,4.4152198,4.4908810,2.9869034,3.2502155,3.3407183,4.5903306,4.6063924,0,0,0,0,0,0,1,0,0 
3,1976,.7480000,23.1889000,.1694000,102.7723999,-.2903523,3.1436737,-1.7754924,4.6325169,36,1982,6, , , , , , , ,1,0,0,0,0,0,0,0,0 
3,1977,.7660000,20.5393009,.1618000,107.0270004,-.2665731,3.0223401,-1.8213943,4.6730809,37,1976,6,-.2903523, ,3.1436737,-1.7754924, ,4.6325169, ,0,1,0,0,0,0,0,0,0 
3,1978,.7620000,20.9386997,.1499000,108.6788025,-.2718087,3.0415990,-1.8977869,4.6883969,38,1977,6,-.2665731,-.2903523,3.0223401,-1.8213943,-1.7754924,4.6730809,4.6325169,0,0,1,0,0,0,0,0,0 
3,1979,.7290000,21.7625999,.1458000,111.1190033,-.3160816,3.0801928,-1.9255195,4.7106018,39,1978,6,-.2718087,-.2665731,3.0415990,-1.8977869,-1.8213943,4.6883969,4.6730809,0,0,0,1,0,0,0,0,0 
3,1980,.7310000,23.4706993,.1468000,101.9264984,-.3133418,3.1557529,-1.9186842,4.6242518,40,1979,6,-.3160816,-.2718087,3.0801928,-1.9255195,-1.8977869,4.7106018,4.6883969,0,0,0,0,1,0,0,0,0 
3,1981,.7790000,24.1252003,.1412000,99.4971008,-.2497443,3.1832569,-1.9575779,4.6001287,41,1980,6,-.3133418,-.3160816,3.1557529,-1.9186842,-1.9255195,4.6242518,4.7106018,0,0,0,0,0,1,0,0,0 
3,1982,.7820000,25.2064991,.1261000,99.3103027,-.2459005,3.2271018,-2.0706799,4.5982494,42,1981,6,-.2497443,-.3133418,3.1832569,-1.9575779,-1.9186842,4.6001287,4.6242518,0,0,0,0,0,0,1,0,0 
3,1976,1.6000000,30.8512993,.9934000,104.7664032,.4700036,3.4291790,-.0066219,4.6517329,43,1982,7, , , , , , , ,1,0,0,0,0,0,0,0,0 
3,1977,1.6500000,28.5550003,.9330000,107.4791031,.5007753,3.3518322,-.0693500,4.6772966,44,1976,7,.4700036, ,3.4291790,-.0066219, ,4.6517329, ,0,1,0,0,0,0,0,0,0 
3,1978,1.6799999,29.8602009,.9650000,108.9188004,.5187938,3.3965266,-.0356272,4.6906028,45,1977,7,.5007753,.4700036,3.3518322,-.0693500,-.0066219,4.6772966,4.6517329,0,0,1,0,0,0,0,0,0 
3,1979,1.6799999,30.5893993,.9629000,111.5590973,.5187938,3.4206536,-.0378057,4.7145543,46,1978,7,.5187938,.5007753,3.3965266,-.0356272,-.0693500,4.6906028,4.6772966,0,0,0,1,0,0,0,0,0 
3,1980,1.6600000,27.4885998,.9224000,100,.5068176,3.3137712,-.0807763,4.6051702,47,1979,7,.5187938,.5187938,3.4206536,-.0378057,-.0356272,4.7145543,4.6906028,0,0,0,0,1,0,0,0,0 
3,1981,1.5599999,31.4867992,.9992000,99.3964996,.4446858,3.4495683,-.0008003,4.5991168,48,1980,7,.5068176,.5187938,3.3137712,-.0807763,-.0378057,4.6051702,4.7145543,0,0,0,0,0,1,0,0,0 
3,1982,1.5400000,32.0727997,.8802000,99.2930984,.4317824,3.4680083,-.1276061,4.5980759,49,1981,7,.4446858,.5068176,3.4495683,-.0008003,-.0807763,4.5991168,4.6051702,0,0,0,0,0,0,1,0,0 
3,1976,9.1450005,30.9088993,4.5486002,104.7664032,2.2132072,3.4310441,1.5148195,4.6517329,50,1982,8, , , , , , , ,1,0,0,0,0,0,0,0,0 
3,1977,10.8549995,24.4678993,4.6194000,107.4791031,2.3846257,3.1973619,1.5302649,4.6772966,51,1976,8,2.2132072, ,3.4310441,1.5148195, ,4.6517329, ,0,1,0,0,0,0,0,0,0 
3,1978,10.7489996,28.0557995,5.0373001,108.9188004,2.3748126,3.3341954,1.6168703,4.6906028,52,1977,8,2.3846257,2.2132072,3.1973619,1.5302649,1.5148195,4.6772966,4.6517329,0,0,1,0,0,0,0,0,0 
3,1979,10.9589996,28.7444992,4.8748002,111.5590973,2.3941610,3.3584464,1.5840791,4.7145543,53,1978,8,2.3748126,2.3846257,3.3341954,1.6168703,1.5302649,4.6906028,4.6772966,0,0,0,1,0,0,0,0,0 
3,1980,10.6980000,28.4853992,3.2221000,100,2.3700569,3.3493917,1.1700333,4.6051702,54,1979,8,2.3941610,2.3748126,3.3584464,1.5840791,1.6168703,4.7145543,4.6906028,0,0,0,0,1,0,0,0,0 
3,1981,8.1739998,31.7355995,2.8343000,99.3964996,2.1009583,3.4574389,1.0417950,4.5991168,55,1980,8,2.3700569,2.3941610,3.3493917,1.1700333,1.5840791,4.6051702,4.7145543,0,0,0,0,0,1,0,0,0 
3,1982,4.7010002,29.8962994,1.7506000,99.2930984,1.5477753,3.3977346,.5599586,4.5980759,56,1981,8,2.1009583,2.3700569,3.4574389,1.0417950,1.1700333,4.5991168,4.6051702,0,0,0,0,0,0,1,0,0 
3,1976,2.0060000,26.0825005,.3824000,102.7723999,.6961427,3.2612646,-.9612881,4.6325169,57,1982,9, , , , , , , ,1,0,0,0,0,0,0,0,0 
3,1977,2.6559999,21.9545002,.4551000,107.0270004,.9768212,3.0889721,-.7872381,4.6730809,58,1976,9,.6961427, ,3.2612646,-.9612881, ,4.6325169, ,0,1,0,0,0,0,0,0,0 
3,1978,2.7119999,22.8099995,.4529000,108.6788025,.9976863,3.1271989,-.7920839,4.6883969,59,1977,9,.9768212,.6961427,3.0889721,-.7872381,-.9612881,4.6730809,4.6325169,0,0,1,0,0,0,0,0,0 
3,1979,2.7440000,23.3719997,.4524000,111.1190033,1.0094167,3.1515386,-.7931885,4.7106018,60,1978,9,.9976863,.9768212,3.1271989,-.7920839,-.7872381,4.6883969,4.6730809,0,0,0,1,0,0,0,0,0 
3,1980,2.7570000,23.0737000,.4676000,101.9264984,1.0141431,3.1386933,-.7601421,4.6242518,61,1979,9,1.0094167,.9976863,3.1515386,-.7931885,-.7920839,4.7106018,4.6883969,0,0,0,0,1,0,0,0,0 
3,1981,2.8490000,24.3043995,.4810000,99.4971008,1.0469681,3.1906574,-.7318880,4.6001287,62,1980,9,1.0141431,1.0094167,3.1386933,-.7601421,-.7931885,4.6242518,4.7106018,0,0,0,0,0,1,0,0,0 
3,1982,2.7520001,26.8983994,.4753000,99.3103027,1.0123279,3.2920668,-.7438090,4.5982494,63,1981,9,1.0469681,1.0141431,3.1906574,-.7318880,-.7601421,4.6001287,4.6242518,0,0,0,0,0,0,1,0,0 
7,1976,3.8230000,23.3533001,1.1293000,95.3656998,1.3410355,3.1507382,.1215980,4.5577188,64,1982,10, , , , , , , ,1,0,0,0,0,0,0,0,0 
7,1977,3.9349999,21.3250999,1.0143000,96.7314987,1.3699108,3.0598848,.0141987,4.5719390,65,1976,10,1.3410355, ,3.1507382,.1215980, ,4.5577188, ,0,1,0,0,0,0,0,0,0 
7,1978,3.5280001,20.9319000,1.1169000,99.2332993,1.2607312,3.0412743,.1105570,4.5974736,66,1977,10,1.3699108,1.3410355,3.0598848,.0141987,.1215980,4.5719390,4.5577188,0,0,1,0,0,0,0,0,0 
7,1979,3.5200000,20.4535999,1.1626000,100.7334976,1.2584610,3.0181589,.1506589,4.6124783,67,1978,10,1.2607312,1.3699108,3.0412743,.1105570,.0141987,4.5974736,4.5719390,0,0,0,1,0,0,0,0,0 
7,1980,3.4670000,23.4946003,1.0827000,100,1.2432897,3.1567707,.0794579,4.6051702,68,1979,10,1.2584610,1.2607312,3.0181589,.1506589,.1105570,4.6124783,4.5974736,0,0,0,0,1,0,0,0,0 
7,1981,3.0899999,25.9552994,1.0635999,98.2323990,1.1281711,3.2563758,.0616593,4.5873361,69,1980,10,1.2432897,1.2584610,3.1567707,.0794579,.1506589,4.6051702,4.6124783,0,0,0,0,0,1,0,0,0 
7,1982,3.2620001,26.0361004,1.0958000,99.7634964,1.1823405,3.2594841,.0914847,4.6028023,70,1981,10,1.1281711,1.2432897,3.2563758,.0616593,.0794579,4.5873361,4.6051702,0,0,0,0,0,0,1,0,0 
3,1976,1.3590000,23.0613995,.4099000,104.7664032,.3067491,3.1381602,-.8918420,4.6517329,71,1982,11, , , , , , , ,1,0,0,0,0,0,0,0,0 
3,1977,1.3460000,20.2275009,.5741000,107.4791031,.2971372,3.0070431,-.5549517,4.6772966,72,1976,11,.3067491, ,3.1381602,-.8918420, ,4.6517329, ,0,1,0,0,0,0,0,0,0 
3,1978,1.3380001,22.1434994,.5563000,108.9188004,.2911760,3.0975440,-.5864476,4.6906028,73,1977,11,.2971372,.3067491,3.0070431,-.5549517,-.8918420,4.6772966,4.6517329,0,0,1,0,0,0,0,0,0 
3,1979,1.3530000,22.5496006,.5145000,111.5590973,.3023244,3.1157174,-.6645597,4.7145543,74,1978,11,.2911760,.2971372,3.0975440,-.5864476,-.5549517,4.6906028,4.6772966,0,0,0,1,0,0,0,0,0 
3,1980,1.2640001,22.5874996,.5895000,100,.2342813,3.1173966,-.5284805,4.6051702,75,1979,11,.3023244,.2911760,3.1157174,-.6645597,-.5864476,4.7145543,4.6906028,0,0,0,0,1,0,0,0,0 
3,1981,1.1580000,25.9584999,.4847000,99.3964996,.1466944,3.2564991,-.7242252,4.5991168,76,1980,11,.2342813,.3023244,3.1173966,-.5284805,-.6645597,4.6051702,4.7145543,0,0,0,0,0,1,0,0,0 
3,1982,1.1750000,24.0345001,.4359000,99.2930984,.1612681,3.1794903,-.8303424,4.5980759,77,1981,11,.1466944,.2342813,3.2564991,-.7242252,-.5284805,4.5991168,4.6051702,0,0,0,0,0,0,1,0,0 
3,1976,1.7800000,34.2990990,.2569000,104.7664032,.5766134,3.5351191,-1.3590683,4.6517329,78,1982,12, , , , , , , ,1,0,0,0,0,0,0,0,0 
3,1977,1.6430000,30.3978996,.2072000,107.4791031,.4965239,3.4143734,-1.5740707,4.6772966,79,1976,12,.5766134, ,3.5351191,-1.3590683, ,4.6517329, ,0,1,0,0,0,0,0,0,0 
3,1978,1.3900000,31.1431007,.1999000,108.9188004,.3293037,3.4385927,-1.6099380,4.6906028,80,1977,12,.4965239,.5766134,3.4143734,-1.5740707,-1.3590683,4.6772966,4.6517329,0,0,1,0,0,0,0,0,0 
3,1979,1.3500000,33.3105011,.2007000,111.5590973,.3001046,3.5058727,-1.6059440,4.7145543,81,1978,12,.3293037,.4965239,3.4385927,-1.6099380,-1.5740707,4.6906028,4.6772966,0,0,0,1,0,0,0,0,0 
3,1980,1.0820000,30.2147007,.1473000,100,.0788112,3.4083285,-1.9152839,4.6051702,82,1979,12,.3001046,.3293037,3.5058727,-1.6059440,-1.6099380,4.7145543,4.6906028,0,0,0,0,1,0,0,0,0 
3,1981,.7800000,29.7413998,.1158000,99.3964996,-.2484614,3.3925400,-2.1558907,4.5991168,83,1980,12,.0788112,.3001046,3.4083285,-1.9152839,-1.6059440,4.6051702,4.7145543,0,0,0,0,0,1,0,0,0 
3,1982,.6800000,31.1235008,.1036000,99.2930984,-.3856625,3.4379632,-2.2672179,4.5980759,84,1981,12,-.2484614,.0788112,3.3925400,-2.1558907,-1.9152839,4.5991168,4.6051702,0,0,0,0,0,0,1,0,0 
1,1976,2.3529999,22.3833008,.5785000,125.8063965,.8556911,3.1083152,-.5473168,4.8347440,85,1982,13, , , , , , , ,1,0,0,0,0,0,0,0,0 
1,1977,2.3859999,23.0606995,.5613000,127.9648972,.8696183,3.1381299,-.5774998,4.8517561,86,1976,13,.8556911, ,3.1083152,-.5473168, ,4.8347440, ,0,1,0,0,0,0,0,0,0 
1,1978,2.3750000,23.4930992,.5273000,125.4293976,.8649974,3.1567068,-.6399856,4.8317432,87,1977,13,.8696183,.8556911,3.1381299,-.5774998,-.5473168,4.8517561,4.8347440,0,0,1,0,0,0,0,0,0 
1,1979,2.4150000,26.0042000,.5180000,125.0259018,.8816993,3.2582581,-.6577801,4.8285208,88,1978,13,.8649974,.8696183,3.1567068,-.6399856,-.5774998,4.8317432,4.8517561,0,0,0,1,0,0,0,0,0 
1,1980,2.2660000,24.1671009,.4608000,106.3043976,.8180162,3.1849923,-.7747912,4.6663065,89,1979,13,.8816993,.8649974,3.2582581,-.6577801,-.6399856,4.8285208,4.8317432,0,0,0,0,1,0,0,0,0 
1,1981,1.7770000,26.0573006,.3750000,98.0728989,.5749265,3.2602980,-.9808292,4.5857110,90,1980,13,.8180162,.8816993,3.1849923,-.7747912,-.6577801,4.6663065,4.8285208,0,0,0,0,0,1,0,0,0 
1,1982,1.5369999,28.7063999,.3147000,96.8674011,.4298324,3.3571200,-1.1561354,4.5733433,91,1981,13,.5749265,.8180162,3.2602980,-.9808292,-.7747912,4.5857110,4.6663065,0,0,0,0,0,0,1,0,0 
1,1978,3.1650000,20.9113007,.3902000,127.3865967,1.1521530,3.0402896,-.9410959,4.8472266,92,1982,14, , , , , , , ,0,0,1,0,0,0,0,0,0 
1,1979,3.0960000,21.8887005,.4311000,124.6424026,1.1301110,3.0859706,-.8414152,4.8254490,93,1978,14,1.1521530, ,3.0402896,-.9410959, ,4.8472266, ,0,0,0,1,0,0,0,0,0 
1,1980,2.9909999,23.7010002,.4228000,118.9132004,1.0956078,3.1655173,-.8608560,4.7783937,94,1979,14,1.1301110,1.1521530,3.0859706,-.8414152,-.9410959,4.8254490,4.8472266,0,0,0,0,1,0,0,0,0 
1,1981,2.6919999,21.3924999,.3810000,99.3575974,.9902844,3.0630405,-.9649559,4.5987253,95,1980,14,1.0956078,1.1301110,3.1655173,-.8608560,-.8414152,4.7783937,4.8254490,0,0,0,0,0,1,0,0,0 
1,1982,2.1750000,25.5237007,.3051000,97.2427979,.7770286,3.2396076,-1.1871157,4.5772109,96,1981,14,.9902844,1.0956078,3.0630405,-.9649559,-.8608560,4.5987253,4.7783937,0,0,0,0,0,0,1,0,0 
1,1983,1.8010000,25.7210999,.2041000,97.1943970,.5883421,3.2473116,-1.5891452,4.5767131,97,1982,14,.7770286,.9902844,3.2396076,-1.1871157,-.9649559,4.5772109,4.5987253,0,0,0,0,0,0,0,1,0 
1,1984,1.4280000,25.6452007,.1685000,99.9861984,.3562748,3.2443564,-1.7808195,4.6050320,98,1983,14,.5883421,.7770286,3.2473116,-1.5891452,-1.1871157,4.5767131,4.5772109,0,0,0,0,0,0,0,0,1 
9,1977,7.2199998,22.5897999,1.8498000,105.3355026,1.9768549,3.1174984,.6150775,4.6571507,99,1984,15, , , , , , , ,0,1,0,0,0,0,0,0,0 
9,1978,7.3210001,22.0548992,1.9215000,108.1832962,1.9907470,3.0935347,.6531061,4.6838269,100,1977,15,1.9768549, ,3.1174984,.6150775, ,4.6571507, ,0,0,1,0,0,0,0,0,0 
9,1979,7.0970001,22.2901993,2.1854999,110.6984024,1.9596722,3.1041472,.7818446,4.7068095,101,1978,15,1.9907470,1.9768549,3.0935347,.6531061,.6150775,4.6838269,4.6571507,0,0,0,1,0,0,0,0,0 
9,1980,7.2010002,20.6807995,2.4345000,105.9673004,1.9742199,3.0292058,.8897414,4.6631308,102,1979,15,1.9596722,1.9907470,3.1041472,.7818446,.6531061,4.7068095,4.6838269,0,0,0,0,1,0,0,0,0 
9,1981,6.6020002,21.6151009,2.1255000,96.5931015,1.8873726,3.0733922,.7540070,4.5705075,103,1980,15,1.9742199,1.9596722,3.0292058,.8897414,.7818446,4.6631308,4.7068095,0,0,0,0,0,1,0,0,0 
9,1982,5.3109999,23.1550999,1.5594000,92.0012970,1.6697801,3.1422150,.4443011,4.5218029,104,1981,15,1.8873726,1.9742199,3.0733922,.7540070,.8897414,4.5705075,4.6631308,0,0,0,0,0,0,1,0,0 
9,1983,5.3940001,25.0998993,1.3576000,92.2488022,1.6852872,3.2228639,.3057184,4.5244894,105,1982,15,1.6697801,1.8873726,3.1422150,.4443011,.7540070,4.5218029,4.5705075,0,0,0,0,0,0,0,1,0 
4,1976,2.7570000,29.3516998,.9175000,116.4000015,1.0141431,3.3793504,-.0861027,4.7570324,106,1983,16, , , , , , , ,1,0,0,0,0,0,0,0,0 
4,1977,2.6320000,27.0685997,.8613000,115.6999969,.9677440,3.2983744,-.1493124,4.7510004,107,1976,16,1.0141431, ,3.3793504,-.0861027, ,4.7570324, ,0,1,0,0,0,0,0,0,0 
4,1978,2.6470001,27.2751999,.8519000,112.8000031,.9734269,3.3059778,-.1602862,4.7256165,108,1977,16,.9677440,1.0141431,3.2983744,-.1493124,-.0861027,4.7510004,4.7570324,0,0,1,0,0,0,0,0,0 
4,1979,2.6870000,26.6443996,.5277000,108.9000015,.9884253,3.2825789,-.6392273,4.6904302,109,1978,16,.9734269,.9677440,3.3059778,-.1602862,-.1493124,4.7256165,4.7510004,0,0,0,1,0,0,0,0,0 
4,1980,2.4170001,25.3591003,.5262000,100,.8825271,3.2331376,-.6420739,4.6051702,110,1979,16,.9884253,.9734269,3.2825789,-.6392273,-.1602862,4.6904302,4.7256165,0,0,0,0,1,0,0,0,0 
4,1981,2.2179999,25.2730999,.5660000,89.1999969,.7966059,3.2297406,-.5691612,4.4908810,111,1980,16,.8825271,.9884253,3.2331376,-.6420739,-.6392273,4.6051702,4.6904302,0,0,0,0,0,1,0,0,0 
4,1982,2.1059999,27.4445992,.5112000,90.5000000,.7447904,3.3121693,-.6709943,4.5053496,112,1981,16,.7966059,.8825271,3.2297406,-.5691612,-.6420739,4.4908810,4.6051702,0,0,0,0,0,0,1,0,0 
1,1977,1.0900000,23.9351997,.1282000,127.1640015,.0861777,3.1753502,-2.0541637,4.8454776,113,1982,17, , , , , , , ,0,1,0,0,0,0,0,0,0 
1,1978,1.1440001,22.6138992,.1393000,127.3865967,.1345309,3.1185648,-1.9711254,4.8472266,114,1977,17,.0861777, ,3.1753502,-2.0541637, ,4.8454776, ,0,0,1,0,0,0,0,0,0 
1,1979,1.1950001,23.0800991,.1795000,124.6424026,.1781462,3.1389709,-1.7175801,4.8254490,115,1978,17,.1345309,.0861777,3.1185648,-1.9711254,-2.0541637,4.8472266,4.8454776,0,0,0,1,0,0,0,0,0 
1,1980,1.2589999,25.0345993,.1835000,118.9132004,.2303177,3.2202590,-1.6955405,4.7783937,116,1979,17,.1781462,.1345309,3.1389709,-1.7175801,-1.9711254,4.8254490,4.8472266,0,0,0,0,1,0,0,0,0 
1,1981,1.3190000,24.2586994,.1731000,99.3575974,.2768739,3.1887753,-1.7538859,4.5987253,117,1980,17,.2303177,.1781462,3.2202590,-1.6955405,-1.7175801,4.7783937,4.8254490,0,0,0,0,0,1,0,0,0 
1,1982,1.1880000,28.4659004,.1471000,97.2427979,.1722712,3.3487070,-1.9166427,4.5772109,118,1981,17,.2768739,.2303177,3.1887753,-1.7538859,-1.6955405,4.5987253,4.7783937,0,0,0,0,0,0,1,0,0 
1,1983,1.1630000,29.4594002,.1246000,97.1943970,.1510029,3.3830130,-2.0826466,4.5767131,119,1982,17,.1722712,.2768739,3.3487070,-1.9166427,-1.7538859,4.5772109,4.5987253,0,0,0,0,0,0,0,1,0 
4,1977,7.4070001,29.9689007,1.1694000,116.2249985,2.0024254,3.4001603,.1564908,4.7555280,120,1983,18, , , , , , , ,0,1,0,0,0,0,0,0,0 
4,1978,7.3920002,26.2611008,1.2643000,114.9749985,2.0003984,3.2680888,.2345186,4.7447147,121,1977,18,2.0024254, ,3.4001603,.1564908, ,4.7555280, ,0,0,1,0,0,0,0,0,0 
4,1979,7.1980000,25.7528000,1.3536000,111.8249969,1.9738032,3.2485433,.3027677,4.7169352,122,1978,18,2.0003984,2.0024254,3.2680888,.2345186,.1564908,4.7447147,4.7555280,0,0,0,1,0,0,0,0,0 
